symbol,entry_time,exit_time,entry_price,exit_price,exit_pnl_pct,peak_pnl_pct,trough_pnl_pct,exit_reason,exit_reason_cat,n_portfolios,total_minutes_held,minutes_to_peak,live_config_id
IBIT,2026-03-09T15:23:46.784977+00:00,2026-03-09T16:53:01.415797+00:00,39.15,39.279998779296875,0.3321,0.3321,-0.4743,signal,vdd_signal,2,89,88,lc_d58c66d24787
AAOI,2026-03-09T15:28:58.375642+00:00,2026-03-10T15:17:36.206431+00:00,100.58,125.19010162353516,24.4682,25.0646,-1.2925,signal,vdd_signal,1,1053,1053,lc_ab8aa7f25745
AAOI,2026-03-09T15:29:07.964612+00:00,2026-03-10T15:17:36.926165+00:00,100.58,125.19010162353516,24.4682,25.0646,-1.2925,signal,vdd_signal,2,1052,1052,lc_d58c66d24787
HIMS,2026-03-09T15:35:49.803850+00:00,2026-03-09T19:18:32.798272+00:00,22.2601,22.47800064086914,0.9789,0.9789,-4.4703,signal,vdd_signal,2,222,221,lc_d58c66d24787
LYV,2026-03-09T15:38:33.578783+00:00,2026-03-11T15:09:28.258012+00:00,164.675,166.24000549316406,0.9504,2.1041,-1.4119,signal,vdd_signal,2,900,300,lc_d58c66d24787
RKT,2026-03-09T15:39:01.873169+00:00,2026-03-09T19:25:35.628467+00:00,15.04,15.194999694824219,1.0306,1.7287,-0.4987,signal,vdd_signal,2,225,225,lc_d58c66d24787
NVO,2026-03-09T15:39:07.672263+00:00,2026-03-09T18:38:24.250730+00:00,39.4299,39.345001220703125,-0.2153,0.9767,-0.6845,signal,vdd_signal,2,178,64,lc_d58c66d24787
SCVL,2026-03-09T15:48:12.495205+00:00,2026-03-10T14:23:37.265423+00:00,18.2299,19.024999618530273,4.3615,4.5535,-0.0269,signal,vdd_signal,2,182,182,lc_d58c66d24787
PARR,2026-03-09T15:49:12.023374+00:00,2026-03-09T18:50:04.207612+00:00,48.225,47.709999084472656,-1.0679,0.7776,-2.5816,signal,vdd_signal,2,177,14,lc_d58c66d24787
RGNX,2026-03-09T15:51:08.926388+00:00,2026-03-10T19:01:55.223010+00:00,10.51,9.984499999999999,-5.0,2.2835,-6.7555,guard_stop,guard_stop,2,473,243,lc_d58c66d24787
PBF,2026-03-09T15:51:39.991414+00:00,2026-03-09T17:18:22.850522+00:00,43.07,40.9165,-5.0,0.2554,-4.9106,guard_stop,guard_stop,2,86,12,lc_d58c66d24787
NVDA,2026-03-09T16:03:19.969247+00:00,2026-03-09T18:24:38.924774+00:00,179.6101,180.11000061035156,0.2783,0.6402,-0.3035,signal,vdd_signal,2,140,32,lc_d58c66d24787
VRT,2026-03-09T16:23:13.514729+00:00,2026-03-10T17:20:32.533100+00:00,262.51,271.9100036621094,3.5808,4.6093,-1.2647,signal,vdd_signal,2,980,841,lc_4eba845ea079
CCL,2026-03-09T16:38:43.828019+00:00,2026-03-09T18:17:42.085988+00:00,25.055,25.199899673461914,0.5783,0.6386,-0.7184,signal,vdd_signal,4,98,98,lc_4eba845ea079
C,2026-03-09T16:40:34.490636+00:00,2026-03-09T18:36:08.489775+00:00,103.59,103.62000274658203,0.029,0.3668,-0.7144,signal,vdd_signal,4,115,4,lc_4eba845ea079
AZO,2026-03-09T16:56:06.960898+00:00,2026-03-10T13:55:16.658535+00:00,3663.96,3700.0,0.9836,1.0995,-0.3548,signal,vdd_signal,5,247,247,lc_4eba845ea079
NFJ,2026-03-09T17:05:11.127449+00:00,2026-03-11T16:37:33.349894+00:00,12.84,12.970000267028809,1.0125,1.2461,-0.9798,signal,vdd_signal,4,335,71,lc_4eba845ea079
RNAC,2026-03-09T17:06:20.548407+00:00,2026-03-09T19:50:58.844187+00:00,8.385,8.890000343322754,6.0227,6.9767,-0.7752,signal,vdd_signal,3,125,24,lc_4eba845ea079
BMY,2026-03-09T17:08:02.149926+00:00,2026-03-09T19:02:02.246646+00:00,60.16,60.189998626708984,0.0499,0.133,-0.5485,signal,vdd_signal,4,113,9,lc_4eba845ea079
JNJ,2026-03-09T17:09:03.137559+00:00,2026-03-09T18:52:30.395974+00:00,242.7,242.59500122070312,-0.0433,0.0536,-0.5995,signal,vdd_signal,4,102,6,lc_4eba845ea079
GOOG,2026-03-09T17:18:30.022588+00:00,2026-03-09T18:45:41.891096+00:00,300.59,302.04998779296875,0.4857,0.5389,-0.1963,signal,vdd_signal,4,86,86,lc_ab8aa7f25745
PBR,2026-03-09T17:23:48.653072+00:00,2026-03-10T14:50:06.327571+00:00,18.2421,18.165000915527344,-0.4226,1.6385,-10.6463,signal,vdd_signal,5,759,115,lc_4eba845ea079
SOFI,2026-03-09T17:28:00.161343+00:00,2026-03-11T16:32:15.419558+00:00,18.225,18.235000610351562,0.0549,4.5816,-1.3717,signal,vdd_signal,2,1774,603,lc_f8b535777d26
DOMO,2026-03-09T17:29:29.364377+00:00,2026-03-10T16:02:19.658346+00:00,4.2483,4.329999923706055,1.9231,4.9031,-3.2554,signal,vdd_signal,2,231,129,lc_f8b535777d26
CBOE,2026-03-09T17:33:10.221106+00:00,2026-03-10T13:46:14.951271+00:00,302.285,287.17075,-5.0,2.5522,-5.1921,guard_stop,guard_stop,2,190,167,lc_f8b535777d26
CRC,2026-03-09T17:39:19.793879+00:00,2026-03-11T18:28:30.304597+00:00,64.57,62.83000183105469,-2.6947,0.9757,-8.6263,signal,vdd_signal,3,798,40,lc_4eba845ea079
AMRZ,2026-03-09T17:41:54.078359+00:00,2026-03-10T16:54:36.116695+00:00,56.84,59.47999954223633,4.6446,6.4391,-0.1759,signal,vdd_signal,2,429,144,lc_f8b535777d26
ORCL,2026-03-09T17:58:04.524136+00:00,2026-03-09T19:57:41.863775+00:00,148.06,148.06,0.0,2.6341,-0.0236,reconcile_no_alpaca_position,reconcile,1,118,100,lc_72f6df86086e
BCBP,2026-03-09T17:58:11.209718+00:00,2026-03-09T19:57:41.959608+00:00,8.0,8.0,0.0,2.75,0.0,reconcile_no_alpaca_position,reconcile,1,27,21,lc_72f6df86086e
LW,2026-03-09T17:59:39.449840+00:00,2026-03-10T19:23:08.187930+00:00,46.05,45.02000045776367,-2.2367,1.7807,-3.355,signal,vdd_signal,4,526,174,lc_f8b535777d26
PELI,2026-03-09T18:05:15.959686+00:00,2026-03-11T15:46:04.392065+00:00,10.27,10.289999961853027,0.1947,0.2921,0.0,signal,vdd_signal,4,239,45,lc_f8b535777d26
TMC,2026-03-09T18:23:05.841749+00:00,2026-03-10T15:44:15.939613+00:00,6.1239,6.434999942779541,5.0801,5.325,-0.97,signal,vdd_signal,3,500,266,lc_4eba845ea079
DNTH,2026-03-09T18:23:43.171346+00:00,2026-03-10T14:40:25.355401+00:00,77.95,82.69499969482422,6.0872,6.0872,-3.4509,signal,vdd_signal,5,216,214,lc_ab8aa7f25745
IQV,2026-03-09T18:30:51.460151+00:00,2026-03-11T13:52:08.961743+00:00,178.77,169.8315,-5.0,1.9578,-5.8847,guard_stop,guard_stop,6,605,113,lc_ab8aa7f25745
A,2026-03-09T18:32:43.066387+00:00,2026-03-10T14:59:24.539757+00:00,115.6,116.13999938964844,0.4671,1.4879,-0.9905,signal,vdd_signal,3,238,148,lc_d58c66d24787
FTRE,2026-03-09T18:35:08.895042+00:00,2026-03-10T14:28:45.758500+00:00,9.48,9.006,-5.0,8.0137,-5.1688,guard_stop,guard_stop,1,174,88,lc_d58c66d24787
XPEV,2026-03-09T18:47:46.057227+00:00,2026-03-11T18:37:43.020844+00:00,18.37,19.135000228881836,4.1644,6.0969,-1.0887,signal,vdd_signal,7,1413,1107,lc_4eba845ea079
ADEA,2026-03-09T18:53:22.304201+00:00,2026-03-11T16:34:59.171998+00:00,21.725,23.18000030517578,6.6974,8.1165,-2.0483,signal,vdd_signal,6,717,569,lc_ab8aa7f25745
AMD,2026-03-09T18:55:28.797013+00:00,2026-03-11T17:09:46.871138+00:00,197.8204,205.52000427246094,3.8922,5.6818,-0.3338,signal,vdd_signal,6,1951,1744,lc_ab8aa7f25745
GD,2026-03-09T19:02:05.167734+00:00,2026-03-10T15:18:08.235634+00:00,359.415,359.1600036621094,-0.0709,0.9975,-1.2006,signal,vdd_signal,6,302,92,lc_4eba845ea079
MSFT,2026-03-09T19:03:06.634239+00:00,2026-03-10T16:26:54.725489+00:00,405.05,406.989990234375,0.479,1.5899,-0.495,signal,vdd_signal,2,777,324,lc_6c9327c687ac
